file,univocity_success,univocity_header_precision,univocity_header_recall,univocity_header_f1,univocity_record_precision,univocity_record_recall,univocity_record_f1,univocity_cell_precision,univocity_cell_recall,univocity_cell_f1
pssave_traindata_m=10_n=10_timelow=15_timehight=30_numofloop=2000.csv,1,0.0,0.0,0.0,0.9,1.0,0.9473684210526316,0.9090909090909091,1.0,0.9523809523809523
hist_2000_15O.csv,1,0.0,0.0,0.0,0.9875,1.0,0.9937106918238994,0.012345679012345678,0.0125,0.012422360248447204
mordenite-dh-2.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ResultsOR30x100-0.75_5.dat__m29Infos.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct_2013.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.75_3.dat.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ResultsOR30x100-0.50_1.dat__m21.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ministers-overseas-travel-jan-mar-2013.csv,1,0.0,0.0,0.0,0.75,0.5454545454545454,0.631578947368421,0.9365079365079365,0.7023809523809523,0.802721088435374
Consular_cases_April_2016.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NBA_scores_out.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
workforce-management-information-dft_201706.csv,1,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.9,0.1875,0.31034482758620696,0.9177489177489178,0.20602526724975703,0.3365079365079365
ResultsOR30x100-0.50_3.dat.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ResultsOR30x500-0.50_6.datInfos.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL5083-emissivity.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_10.dat__m28Infos.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wairakite-dh.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wine_Cellar_Consumption_dataset_14-15.csv,1,1.0,1.0,1.0,0.6278026905829597,0.6278026905829597,0.6278026905829597,0.9006696428571429,0.9006696428571429,0.9006696428571429
W44out.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rape_table_3_prosecution_outcomes_0708_1314.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hypo5.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sustainability_-_Water_consumption_P_56.csv,1,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.5333333333333333
vissim_data_conf2473_i7_v1987.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vissim_data_conf2473_i12_v2026.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extended.csv,1,0.0,0.0,0.0,0.995475113122172,1.0,0.9977324263038548,0.9954954954954955,1.0,0.9977426636568849
S39.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resultsgk06.datInfos.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthTrent_Demand_zone-based.csv,1,0.0,0.0,0.0,0.99609375,1.0,0.9980430528375733,0.9961089494163424,1.0,0.9980506822612086
O18_air.csv,1,0.0,0.0,0.0,0.998001998001998,0.999,0.9985007496251873,0.9985029940119761,0.9995004995004995,0.9990014977533699
Note_4_Staff_costs_-_Average_number_of_persons_employed_13-14.csv,1,0.0,0.0,0.0,0.8571428571428571,0.631578947368421,0.7272727272727273,0.9583333333333334,0.71875,0.8214285714285714
20170320-ePC_Data-Travel-Stationery.csv,1,0.0,0.0,0.0,1.0,0.625,0.7692307692307693,1.0,0.6470588235294118,0.7857142857142858
business_expenses_apr_jun_14_peter_lewis.csv,1,0.0,0.0,0.0,1.0,0.6923076923076923,0.8181818181818181,0.9555555555555556,0.6825396825396826,0.7962962962962964
Auto_Tone_sub315_day1.csv,1,0.625,0.625,0.625,0.0,0.0,0.0,0.625,0.625,0.625
GPC_DCLG_December_2015_for_Publication.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W32.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Wind Direction.csv,1,0.0,0.0,0.0,0.9999942308247036,1.0,0.9999971154040309,0.9999942308579868,1.0,0.9999971154206726
"Businesses with a rateable value of less than £12,000 - March 2016.csv",1,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.9999790654831686,0.9999790654831686,0.9999790654831686
june_2015(1).csv,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1097798412460686,0.10974696810899835,0.1097634022162324,0.9189196547687114,0.9186445291235711,0.918782071349821
planning-application-aug-17.csv,1,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.4338303821062442,0.4338303821062442,0.4338303821062442,0.9466330007599343,0.9466330007599343,0.9466330007599343
air_quality_station3_2006.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wakefield Council Procurement Card Transactions 2018-19 Q2.csv,1,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.8288207652718729,0.8045178105994787,0.8164884823101509,0.9925590895827254,0.9634612661096162,0.977793747754222
spending_2020_01.csv,1,1.0,1.0,1.0,0.687147997496871,0.687147997496871,0.687147997496871,0.9789328222978346,0.9789328222978346,0.9789328222978346
Camp Palacios - Humidity.csv,1,0.0,0.0,0.0,0.9999699076163823,1.0,0.9999849535818,0.9999699085219066,1.0,0.9999849540345755
fire_archive_V1_50574.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
