file,libreoffice_success,libreoffice_header_precision,libreoffice_header_recall,libreoffice_header_f1,libreoffice_record_precision,libreoffice_record_recall,libreoffice_record_f1,libreoffice_cell_precision,libreoffice_cell_recall,libreoffice_cell_f1
epcs-dwp-cmg-spend-july-2017.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pssave_traindata_m=10_n=10_timelow=15_timehight=30_numofloop=2000.csv,1,1.0,1.0,1.0,0.9,1.0,0.9473684210526316,0.9,1.0,0.9473684210526316
hist_2000_15O.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0075,0.007594936708860759,0.007547169811320755
mordenite-dh-2.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_5.dat__m29Infos.csv,1,0.11428571428571428,0.05970149253731343,0.0784313725490196,1.0,1.0,1.0,1.0,1.0,1.0
Oct_2013.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.75_3.dat.csv,1,0.0037315542488833607,0.001869264755862694,0.0024908010189640534,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_1.dat__m21.csv,1,0.015748031496062992,0.007935138864930136,0.010552879100711171,1.0,1.0,1.0,1.0,1.0,1.0
ministers-overseas-travel-jan-mar-2013.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Consular_cases_April_2016.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NBA_scores_out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
workforce-management-information-dft_201706.csv,1,0.8321167883211679,0.9661016949152542,0.8941176470588236,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_3.dat.csv,1,0.014705882352941176,0.007406550167804653,0.009851458477641807,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.50_6.datInfos.csv,1,0.11428571428571428,0.05970149253731343,0.0784313725490196,1.0,1.0,1.0,1.0,1.0,1.0
AL5083-emissivity.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bioprofile_fits_K1par-0mMCD_sets.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_10.dat__m28Infos.csv,1,0.11428571428571428,0.05970149253731343,0.0784313725490196,1.0,1.0,1.0,1.0,1.0,1.0
wairakite-dh.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine_Cellar_Consumption_dataset_14-15.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W44out.csv,1,1.0,0.33518312985571586,0.5020781379883624,1.0,1.0,1.0,1.0,0.4506251332221005,0.6212840559589378
rape_table_3_prosecution_outcomes_0708_1314.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hypo5.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sustainability_-_Water_consumption_P_56.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
vissim_data_conf2473_i7_v1987.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vissim_data_conf2473_i12_v2026.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
extended.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S39.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resultsgk06.datInfos.csv,1,0.11428571428571428,0.05970149253731343,0.0784313725490196,1.0,1.0,1.0,1.0,1.0,1.0
SouthTrent_Demand_zone-based.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O18_air.csv,1,1.0,1.0,1.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.4500499500499501,0.4500499500499501,0.45004995004995
Note_4_Staff_costs_-_Average_number_of_persons_employed_13-14.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.07692307692307693,0.030303030303030304,0.043478260869565216
W38out.csv,1,1.0,0.33518312985571586,0.5020781379883624,1.0,1.0,1.0,1.0,0.4506251332221005,0.6212840559589378
20170320-ePC_Data-Travel-Stationery.csv,1,0.0,0.0,0.0,0.875,0.875,0.875,1.0,0.875,0.9333333333333333
business_expenses_apr_jun_14_peter_lewis.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GPC_DCLG_December_2015_for_Publication.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W32.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Wind Direction.csv,1,1.0,1.0,1.0,0.9999942308247036,1.0,0.9999971154040309,0.9999942308247036,1.0,0.9999971154040309
"Businesses with a rateable value of less than £12,000 - March 2016.csv",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
june_2015(1).csv,1,0.09090909090909091,0.1,0.09523809523809525,1.0,1.0,1.0,0.7858527131782945,0.7982283464566929,0.7919921875
planning-application-aug-17.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9992372234935164,0.9996184662342618,0.9994278085065801
air_quality_station3_2006.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wakefield Council Procurement Card Transactions 2018-19 Q2.csv,1,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.9418777943368107,0.14135540147617984,0.2458187475690393,0.9972695358210896,0.14917390331897348,0.25952713276656936
spending_2020_01.csv,1,1.0,1.0,1.0,3.911138923654568e-05,3.911138923654568e-05,3.911138923654568e-05,0.9102106800166875,0.9102106800166875,0.9102106800166875
Camp Palacios - Humidity.csv,1,1.0,1.0,1.0,0.9999699076163823,1.0,0.9999849535818,0.9999699076163823,1.0,0.9999849535818
fire_archive_V1_50574.csv,1,1.0,1.0,1.0,0.8977285000385726,0.9988002765658155,0.9455711773853887,0.7173337355859479,1.0,0.8354039994924997
all.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.3741307371349096,0.6085972850678733,0.46339362618432384
