Newcastle City Council Invoices over £250 paid in June 2015,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604465,Revenue,1MG50,Home Care-Spot Purchased OP,369.74,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604466,Revenue,1MG50,Home Care-Spot Purchased OP,328.04,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604467,Revenue,1MG50,Home Care-Spot Purchased OP,683.88,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604468,Revenue,1MG50,Home Care-Spot Purchased OP,1229.8,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604469,Revenue,1MG50,Home Care-Spot Purchased OP,375.3,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604470,Revenue,1MG50,Home Care-Spot Purchased OP,411.08,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604472,Revenue,1MG50,Home Care-Spot Purchased OP,577.31,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604476,Revenue,1MH50,Home Care PD,2063.83,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,6604477,Revenue,1MG50,Home Care-Spot Purchased OP,517.08,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,17/06/2015,ABSOLUTE QUALITY CARE,6612664,Revenue,1MH50,Home Care PD,1153.5,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,01/06/2015,ACCEPTUS IT LTD,6597447,Revenue,1CX50,Technical Refresh,3482.95,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,16/06/2015,ACCOUNTABILITY,6610422,Revenue,1MH40,Direct Payments PD,2782,
Adult and Culture,Social Services                        ,Supplies & Services,22/06/2015,ACE CLEANING EQUIPMENT,6613437,Revenue,1MR58,Transport Function,269.33,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,25/06/2015,ACP,6601953,Revenue,1KESG,Light Workshop Code 5 Repairs,580.53,
Environment & Regeneration,NS: Capital Works          ,Premises,19/06/2015,ACROL AIR CONDITIONING CO LTD,6585379,Revenue,1KL1D,East End Pool,926.95,
Chief Executive's,CD - Revenues & Benefits         ,Employees,08/06/2015,ACS LTD,6596589,Revenue,1CR01,Revenues & Benefits Managemnt,2085,
Chief Executive's,CD - Revenues & Benefits         ,Supplies & Services,12/06/2015,ACS LTD,6596592,Revenue,1CR01,Revenues & Benefits Managemnt,650,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,04/06/2015,ACTION BUILDING MAINTENANCE LTD,6601275,Revenue,1KBAA,Building Contracts,363.78,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,42173,ACTION FOR CHILDREN,6613909,Revenue,1MD72,Troubled Families Funding,6441.82,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,ACTION FOR CHILDREN,6599035,Revenue,1MC22,IND Sector Foster Carer Costs,7896,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,ACTION FOR CHILDREN,6624158,Revenue,1MC22,IND Sector Foster Carer Costs,7896,
Children's Services,Int Childhood Services     ,Third Party Payments,24/06/2015,ACTION FOR CHILDREN,6618394,Revenue,1EEK1,Fenham Childrens Centre,54265.25,
Children's Services,West Riverside S/Start           ,Third Party Payments,24/06/2015,ACTION FOR CHILDREN,6611216,Revenue,1EEG1,W River CC Central Costs,27733.25,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",02/06/2015,ACTIVE HORIZONS LTD,6598885,Revenue,1MG20,Residential Care OP,-495.8,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",30/06/2015,ACTIVE HORIZONS LTD,6625167,Revenue,1MG20,Residential Care OP,-495.8,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/06/2015,ACTIVE HORIZONS LTD,6598885,Revenue,1MG20,Residential Care OP,1724,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/06/2015,ACTIVE HORIZONS LTD,6598885,Revenue,1MK20,Residential Care LD,1724,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/06/2015,ACTIVE HORIZONS LTD,6625167,Revenue,1MG20,Residential Care OP,1802,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/06/2015,ACTIVE HORIZONS LTD,6625167,Revenue,1MK20,Residential Care LD,1802,
Environment & Regeneration,E&R-Highway&Traffic Management   ,Capital Expenditure,22/06/2015,AD ARCHAEOLOGY LTD,6615943,Capital,2KE01,Environmental Services,553.1,
Chief Executive's,CD - Electoral Reg               ,Supplies & Services,03/06/2015,ADARE LTD,6600510,Revenue,1FL02,IndividualElectoralRegistrn,392.74,
Chief Executive's,CD - Electoral Reg               ,Supplies & Services,03/06/2015,ADARE LTD,6600512,Revenue,1FK03,Municipal Elections,57934.15,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,12/06/2015,ADC ELECTRICAL CO LTD(F),6608011,Revenue,1KR01,Responsive Maintenance,271.5,
Adult and Culture,Adult Serv Occ Therapy     ,Capital Expenditure,42178,ADL SMARTCARE LTD,6613953,Capital,2WW01,Adult And Culture Capital,39939,
Environment & Regeneration,CW Security Services             ,Premises,03/06/2015,ADT FIRE & SECURITY,6600494,Revenue,1KJ94,Security Services Delegated,1099.75,
Environment & Regeneration,CW Security Services             ,Premises,03/06/2015,ADT FIRE & SECURITY,6600526,Revenue,1KJ94,Security Services Delegated,536.18,
Environment & Regeneration,NS: Asset Man              ,Premises,11/06/2015,ADT FIRE & SECURITY,6607018,Revenue,1VH22,Temporary Accommodation Prem,1218.2,
