Created as New Dataset,Sample 022 By Administrator Date Saturday, February 11 2017
cm-1,%T
3519.00,96.90
3518.00,96.89
3517.00,96.88
3516.00,96.86
3515.00,96.85
3514.00,96.83
3513.00,96.80
3512.00,96.78
3511.00,96.76
3510.00,96.74
3509.00,96.73
3508.00,96.72
3507.00,96.71
3506.00,96.70
3505.00,96.69
3504.00,96.68
3503.00,96.67
3502.00,96.65
3501.00,96.65
3500.00,96.65
3499.00,96.65
3498.00,96.64
3497.00,96.63
3496.00,96.62
3495.00,96.61
3494.00,96.60
3493.00,96.59
3492.00,96.58
3491.00,96.57
3490.00,96.55
3489.00,96.54
3488.00,96.52
3487.00,96.51
3486.00,96.51
3485.00,96.50
3484.00,96.49
3483.00,96.48
3482.00,96.47
3481.00,96.46
3480.00,96.45
3479.00,96.44
3478.00,96.44
3477.00,96.44
3476.00,96.44
3475.00,96.43
3474.00,96.42
3473.00,96.41
3472.00,96.40
3471.00,96.39
3470.00,96.38
3469.00,96.37
3468.00,96.37
3467.00,96.36
3466.00,96.36
3465.00,96.36
3464.00,96.36
3463.00,96.35
3462.00,96.35
3461.00,96.34
3460.00,96.33
3459.00,96.32
3458.00,96.31
3457.00,96.31
3456.00,96.31
3455.00,96.30
3454.00,96.30
3453.00,96.30
3452.00,96.30
3451.00,96.29
3450.00,96.28
3449.00,96.27
3448.00,96.26
3447.00,96.25
3446.00,96.25
3445.00,96.24
3444.00,96.24
3443.00,96.24
3442.00,96.24
3441.00,96.23
3440.00,96.23
3439.00,96.23
3438.00,96.23
3437.00,96.24
3436.00,96.24
3435.00,96.24
3434.00,96.24
3433.00,96.24
3432.00,96.24
3431.00,96.24
3430.00,96.24
3429.00,96.24
3428.00,96.24
3427.00,96.24
3426.00,96.24
3425.00,96.24
3424.00,96.24
3423.00,96.24
3422.00,96.24
3421.00,96.24
3420.00,96.24
3419.00,96.24
3418.00,96.24
3417.00,96.24
3416.00,96.23
3415.00,96.23
3414.00,96.23
3413.00,96.23
3412.00,96.23
3411.00,96.23
3410.00,96.24
3409.00,96.24
3408.00,96.25
3407.00,96.25
3406.00,96.26
3405.00,96.26
3404.00,96.26
3403.00,96.26
3402.00,96.26
3401.00,96.26
3400.00,96.25
3399.00,96.25
3398.00,96.25
3397.00,96.25
3396.00,96.25
3395.00,96.25
3394.00,96.26
3393.00,96.26
3392.00,96.26
3391.00,96.25
3390.00,96.24
3389.00,96.24
3388.00,96.23
3387.00,96.23
3386.00,96.23
3385.00,96.23
3384.00,96.23
3383.00,96.22
3382.00,96.22
3381.00,96.21
3380.00,96.20
3379.00,96.20
3378.00,96.20
3377.00,96.20
3376.00,96.20
3375.00,96.20
3374.00,96.19
3373.00,96.19
3372.00,96.18
3371.00,96.18
3370.00,96.19
3369.00,96.18
3368.00,96.17
3367.00,96.17
3366.00,96.16
3365.00,96.15
3364.00,96.14
3363.00,96.14
3362.00,96.14
3361.00,96.14
3360.00,96.14
3359.00,96.14
3358.00,96.13
3357.00,96.13
3356.00,96.12
3355.00,96.12
3354.00,96.11
3353.00,96.10
3352.00,96.10
3351.00,96.11
3350.00,96.11
3349.00,96.11
3348.00,96.10
3347.00,96.10
3346.00,96.10
3345.00,96.10
3344.00,96.10
3343.00,96.10
3342.00,96.10
3341.00,96.10
3340.00,96.10
3339.00,96.11
3338.00,96.10
3337.00,96.10
3336.00,96.09
3335.00,96.09
3334.00,96.08
3333.00,96.08
3332.00,96.08
3331.00,96.09
3330.00,96.09
3329.00,96.09
3328.00,96.10
3327.00,96.11
3326.00,96.11
3325.00,96.12
3324.00,96.12
3323.00,96.12
3322.00,96.12
3321.00,96.11
3320.00,96.11
3319.00,96.11
3318.00,96.12
3317.00,96.13
3316.00,96.14
3315.00,96.14
3314.00,96.14
3313.00,96.15
3312.00,96.15
3311.00,96.15
3310.00,96.15
3309.00,96.16
3308.00,96.16
3307.00,96.17
3306.00,96.17
3305.00,96.18
3304.00,96.18
3303.00,96.19
3302.00,96.18
3301.00,96.18
3300.00,96.18
3299.00,96.18
3298.00,96.18
3297.00,96.17
3296.00,96.17
3295.00,96.17
3294.00,96.18
3293.00,96.18
3292.00,96.19
3291.00,96.19
3290.00,96.19
3289.00,96.19
3288.00,96.19
3287.00,96.19
3286.00,96.19
3285.00,96.19
3284.00,96.19
3283.00,96.18
3282.00,96.19
3281.00,96.19
3280.00,96.20
3279.00,96.20
3278.00,96.21
3277.00,96.21
3276.00,96.21
3275.00,96.21
3274.00,96.21
3273.00,96.22
3272.00,96.22
3271.00,96.22
3270.00,96.21
3269.00,96.21
3268.00,96.20
3267.00,96.20
3266.00,96.20
3265.00,96.20
3264.00,96.20
3263.00,96.20
3262.00,96.19
3261.00,96.19
3260.00,96.20
3259.00,96.21
3258.00,96.21
3257.00,96.22
3256.00,96.21
3255.00,96.21
3254.00,96.22
3253.00,96.22
3252.00,96.23
3251.00,96.23
3250.00,96.23
3249.00,96.23
3248.00,96.24
3247.00,96.24
3246.00,96.24
3245.00,96.23
3244.00,96.23
3243.00,96.22
3242.00,96.22
3241.00,96.23
3240.00,96.23
3239.00,96.23
3238.00,96.24
3237.00,96.25
3236.00,96.25
3235.00,96.26
3234.00,96.26
3233.00,96.26
3232.00,96.26
3231.00,96.26
3230.00,96.26
3229.00,96.26
3228.00,96.26
3227.00,96.26
3226.00,96.26
3225.00,96.27
3224.00,96.29
3223.00,96.30
3222.00,96.30
3221.00,96.30
3220.00,96.30
3219.00,96.30
3218.00,96.30
3217.00,96.31
3216.00,96.32
3215.00,96.33
3214.00,96.34
3213.00,96.34
3212.00,96.35
3211.00,96.35
3210.00,96.35
3209.00,96.36
3208.00,96.36
3207.00,96.37
3206.00,96.38
3205.00,96.39
3204.00,96.39
3203.00,96.39
3202.00,96.40
3201.00,96.40
3200.00,96.41
3199.00,96.42
3198.00,96.42
3197.00,96.43
3196.00,96.43
3195.00,96.43
3194.00,96.44
3193.00,96.45
3192.00,96.46
3191.00,96.46
3190.00,96.47
3189.00,96.48
3188.00,96.49
3187.00,96.50
3186.00,96.50
3185.00,96.51
3184.00,96.52
3183.00,96.52
3182.00,96.53
3181.00,96.54
3180.00,96.55
3179.00,96.56
3178.00,96.56
3177.00,96.56
3176.00,96.56
3175.00,96.56
3174.00,96.57
3173.00,96.57
3172.00,96.58
3171.00,96.59
3170.00,96.60
3169.00,96.61
3168.00,96.61
3167.00,96.62
3166.00,96.62
3165.00,96.62
3164.00,96.63
3163.00,96.64
3162.00,96.65
3161.00,96.65
3160.00,96.65
3159.00,96.65
3158.00,96.66
3157.00,96.67
3156.00,96.68
3155.00,96.69
3154.00,96.69
3153.00,96.70
3152.00,96.70
3151.00,96.71
3150.00,96.72
3149.00,96.72
3148.00,96.73
3147.00,96.74
3146.00,96.74
3145.00,96.75
3144.00,96.75
3143.00,96.75
3142.00,96.75
3141.00,96.74
3140.00,96.74
3139.00,96.75
3138.00,96.76
3137.00,96.77
3136.00,96.77
3135.00,96.78
3134.00,96.78
3133.00,96.79
3132.00,96.79
3131.00,96.79
3130.00,96.79
3129.00,96.79
3128.00,96.79
3127.00,96.80
3126.00,96.81
3125.00,96.81
3124.00,96.82
3123.00,96.82
3122.00,96.83
3121.00,96.84
3120.00,96.84
3119.00,96.85
3118.00,96.86
3117.00,96.86
3116.00,96.87
3115.00,96.88
3114.00,96.88
3113.00,96.88
3112.00,96.88
3111.00,96.89
3110.00,96.90
3109.00,96.90
3108.00,96.91
3107.00,96.91
3106.00,96.91
3105.00,96.91
3104.00,96.92
3103.00,96.92
3102.00,96.92
3101.00,96.92
3100.00,96.92
3099.00,96.92
3098.00,96.92
3097.00,96.93
3096.00,96.93
3095.00,96.93
3094.00,96.94
3093.00,96.95
3092.00,96.96
3091.00,96.97
3090.00,96.98
3089.00,96.98
3088.00,96.99
3087.00,96.98
3086.00,96.98
3085.00,96.97
3084.00,96.97
3083.00,96.98
3082.00,96.99
3081.00,97.00
3080.00,97.00
3079.00,97.01
3078.00,97.01
3077.00,97.01
3076.00,97.01
3075.00,97.00
3074.00,97.00
3073.00,97.00
3072.00,97.01
3071.00,97.01
3070.00,97.02
3069.00,97.03
3068.00,97.03
3067.00,97.04
3066.00,97.05
3065.00,97.05
3064.00,97.05
3063.00,97.06
3062.00,97.06
3061.00,97.06
3060.00,97.06
3059.00,97.07
3058.00,97.08
3057.00,97.09
3056.00,97.10
3055.00,97.10
3054.00,97.10
3053.00,97.11
3052.00,97.11
3051.00,97.12
3050.00,97.12
3049.00,97.12
3048.00,97.12
3047.00,97.13
3046.00,97.14
3045.00,97.15
3044.00,97.15
3043.00,97.16
3042.00,97.16
3041.00,97.16
3040.00,97.17
3039.00,97.18
3038.00,97.18
3037.00,97.19
3036.00,97.20
3035.00,97.21
3034.00,97.21
3033.00,97.21
3032.00,97.21
3031.00,97.21
3030.00,97.20
3029.00,97.21
3028.00,97.21
3027.00,97.22
3026.00,97.24
3025.00,97.24
3024.00,97.25
3023.00,97.25
3022.00,97.25
3021.00,97.25
3020.00,97.25
3019.00,97.25
3018.00,97.26
3017.00,97.26
3016.00,97.27
3015.00,97.27
3014.00,97.28
3013.00,97.28
3012.00,97.28
3011.00,97.27
3010.00,97.27
3009.00,97.26
3008.00,97.27
3007.00,97.27
3006.00,97.27
3005.00,97.27
3004.00,97.25
3003.00,97.25
3002.00,97.24
3001.00,97.23
3000.00,97.23
2999.00,97.22
2998.00,97.21
2997.00,97.20
2996.00,97.19
2995.00,97.17
2994.00,97.15
2993.00,97.13
2992.00,97.11
2991.00,97.08
2990.00,97.05
2989.00,97.02
2988.00,96.99
2987.00,96.96
2986.00,96.94
2985.00,96.93
2984.00,96.91
2983.00,96.90
2982.00,96.89
2981.00,96.88
2980.00,96.86
2979.00,96.84
2978.00,96.82
2977.00,96.79
2976.00,96.77
2975.00,96.76
2974.00,96.74
2973.00,96.71
2972.00,96.68
2971.00,96.65
2970.00,96.62
2969.00,96.60
2968.00,96.58
2967.00,96.57
2966.00,96.57
2965.00,96.56
2964.00,96.56
2963.00,96.56
2962.00,96.57
2961.00,96.58
2960.00,96.60
2959.00,96.62
2958.00,96.65
2957.00,96.67
2956.00,96.70
2955.00,96.73
2954.00,96.75
2953.00,96.78
2952.00,96.79
2951.00,96.80
2950.00,96.80
2949.00,96.80
2948.00,96.81
2947.00,96.82
2946.00,96.83
2945.00,96.84
2944.00,96.83
2943.00,96.82
2942.00,96.81
2941.00,96.80
2940.00,96.79
2939.00,96.79
2938.00,96.79
2937.00,96.78
2936.00,96.76
2935.00,96.75
2934.00,96.74
2933.00,96.75
2932.00,96.76
2931.00,96.77
2930.00,96.78
2929.00,96.78
2928.00,96.78
2927.00,96.78
2926.00,96.78
2925.00,96.78
2924.00,96.78
2923.00,96.79
2922.00,96.81
2921.00,96.83
2920.00,96.86
2919.00,96.89
2918.00,96.90
2917.00,96.91
2916.00,96.92
2915.00,96.92
2914.00,96.93
2913.00,96.93
2912.00,96.93
2911.00,96.94
2910.00,96.95
2909.00,96.96
2908.00,96.97
2907.00,96.99
2906.00,97.00
2905.00,97.01
2904.00,97.02
2903.00,97.02
2902.00,97.03
2901.00,97.04
2900.00,97.05
2899.00,97.06
2898.00,97.07
2897.00,97.08
2896.00,97.09
2895.00,97.10
2894.00,97.10
2893.00,97.11
2892.00,97.11
2891.00,97.11
2890.00,97.10
2889.00,97.10
2888.00,97.09
2887.00,97.07
2886.00,97.06
2885.00,97.05
2884.00,97.03
2883.00,97.02
2882.00,97.01
2881.00,96.99
2880.00,96.98
2879.00,96.96
2878.00,96.95
2877.00,96.95
2876.00,96.95
2875.00,96.96
2874.00,96.97
2873.00,96.97
2872.00,96.98
2871.00,96.98
2870.00,96.99
2869.00,97.00
2868.00,97.02
2867.00,97.03
2866.00,97.05
2865.00,97.07
2864.00,97.09
2863.00,97.12
2862.00,97.15
2861.00,97.18
2860.00,97.20
2859.00,97.22
2858.00,97.24
2857.00,97.25
2856.00,97.26
2855.00,97.27
2854.00,97.29
2853.00,97.30
2852.00,97.32
2851.00,97.34
2850.00,97.35
2849.00,97.36
2848.00,97.37
2847.00,97.37
2846.00,97.37
2845.00,97.38
2844.00,97.40
2843.00,97.42
2842.00,97.44
2841.00,97.47
2840.00,97.49
2839.00,97.51
2838.00,97.54
2837.00,97.55
2836.00,97.57
2835.00,97.58
2834.00,97.59
2833.00,97.60
2832.00,97.61
2831.00,97.62
2830.00,97.64
2829.00,97.65
2828.00,97.66
2827.00,97.67
2826.00,97.69
2825.00,97.70
2824.00,97.71
2823.00,97.72
2822.00,97.73
2821.00,97.73
2820.00,97.74
2819.00,97.75
2818.00,97.76
2817.00,97.77
2816.00,97.78
2815.00,97.78
2814.00,97.79
2813.00,97.79
2812.00,97.80
2811.00,97.80
2810.00,97.80
2809.00,97.81
2808.00,97.81
2807.00,97.81
2806.00,97.82
2805.00,97.82
2804.00,97.83
2803.00,97.83
2802.00,97.83
2801.00,97.83
2800.00,97.84
2799.00,97.84
2798.00,97.85
2797.00,97.86
2796.00,97.86
2795.00,97.87
2794.00,97.87
2793.00,97.88
2792.00,97.88
2791.00,97.88
2790.00,97.88
2789.00,97.87
2788.00,97.87
2787.00,97.87
2786.00,97.88
2785.00,97.88
2784.00,97.89
2783.00,97.89
2782.00,97.90
2781.00,97.91
2780.00,97.92
2779.00,97.92
2778.00,97.93
2777.00,97.93
2776.00,97.93
2775.00,97.94
2774.00,97.94
2773.00,97.94
2772.00,97.94
2771.00,97.94
2770.00,97.94
2769.00,97.94
2768.00,97.94
2767.00,97.95
2766.00,97.95
2765.00,97.95
2764.00,97.95
2763.00,97.95
2762.00,97.95
2761.00,97.96
2760.00,97.97
2759.00,97.97
2758.00,97.97
2757.00,97.96
2756.00,97.96
2755.00,97.96
2754.00,97.97
2753.00,97.97
2752.00,97.98
2751.00,97.98
2750.00,97.99
2749.00,97.99
2748.00,97.99
2747.00,97.99
2746.00,97.99
2745.00,97.99
2744.00,97.99
2743.00,97.99
2742.00,97.99
2741.00,98.00
2740.00,98.00
2739.00,98.01
2738.00,98.02
2737.00,98.02
2736.00,98.02
2735.00,98.02
2734.00,98.01
2733.00,98.01
2732.00,98.01
2731.00,98.02
2730.00,98.03
2729.00,98.03
2728.00,98.04
2727.00,98.05
2726.00,98.05
2725.00,98.05
2724.00,98.05
2723.00,98.04
2722.00,98.04
2721.00,98.04
2720.00,98.04
2719.00,98.04
2718.00,98.05
2717.00,98.05
2716.00,98.06
2715.00,98.06
2714.00,98.06
2713.00,98.06
2712.00,98.06
2711.00,98.07
2710.00,98.07
2709.00,98.08
2708.00,98.07
2707.00,98.07
2706.00,98.07
2705.00,98.07
2704.00,98.07
2703.00,98.08
2702.00,98.08
2701.00,98.08
2700.00,98.08
2699.00,98.08
2698.00,98.08
2697.00,98.09
2696.00,98.09
2695.00,98.09
2694.00,98.09
2693.00,98.10
2692.00,98.10
2691.00,98.10
2690.00,98.11
2689.00,98.11
2688.00,98.10
2687.00,98.10
2686.00,98.10
2685.00,98.10
2684.00,98.10
2683.00,98.11
2682.00,98.11
2681.00,98.12
2680.00,98.11
2679.00,98.11
2678.00,98.11
2677.00,98.10
2676.00,98.10
2675.00,98.11
2674.00,98.11
2673.00,98.11
2672.00,98.10
2671.00,98.10
2670.00,98.11
2669.00,98.11
2668.00,98.12
2667.00,98.11
2666.00,98.11
2665.00,98.11
2664.00,98.11
2663.00,98.10
2662.00,98.10
2661.00,98.10
2660.00,98.09
2659.00,98.08
2658.00,98.07
2657.00,98.07
2656.00,98.07
2655.00,98.07
2654.00,98.08
2653.00,98.08
2652.00,98.07
2651.00,98.07
2650.00,98.07
2649.00,98.07
2648.00,98.07
2647.00,98.07
2646.00,98.07
2645.00,98.07
2644.00,98.08
2643.00,98.08
2642.00,98.09
2641.00,98.08
2640.00,98.07
2639.00,98.06
2638.00,98.06
2637.00,98.05
2636.00,98.05
2635.00,98.05
2634.00,98.04
2633.00,98.04
2632.00,98.03
2631.00,98.03
2630.00,98.03
2629.00,98.03
2628.00,98.03
