"Name","Start date of trip","Duration of Visit (Days)","Destination","Purpose of trip","Mode of transport","Class of travel","Accomodation/Meals","Other (including hospitality given)","Total cost, including all visas, accommodation, travel, meals etc. ()","Total Cost of Use of Official Secure Car","Booked through"
"Morrison, Mr. Paul Noble Wilson",2016-10-10,"","Toronto","External Meeting","Air Tickets","Economy","","",1254.15,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-10-10,"","Toronto","External Meeting","","","Hotel (Foreign) Room","",425.51,"","Redfern"
"Parr, Mr. Matthew",2016-10-10,"","London Kings Cross","External Meeting","Rail","Standard","","",46,"","Redfern"
"Wilkinson, Ms. Patsy",2016-10-10,"","HEATHROW TERM 5","External Meeting","Rail","Standard","","",36,"","Redfern"
"Wilkinson, Ms. Patsy",2016-10-10,"","London Paddington","External Meeting","Rail","Standard","","",7,"","Redfern"
"Williams, Ms. Wendy",2016-10-10,"","Birmingham New St","External Meeting","Rail","Standard","","",104.4,"","Redfern"
"Williams, Ms. Wendy",2016-10-10,"","London Paddington","External Meeting","Rail","Standard","","",38,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-10-11,"","East Midlands","External Meeting","","","Hotel With Modem Internet And Email Access.","",80.5,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-10-11,"","London Euston","External Meeting","Rail","Standard","","",173,"","Redfern"
"Hills, Mr. Gareth David",2016-10-11,"","","Photos for India visa","Office Overheads (incl Printing & Publications)","","","",24.98,"",""
"Lloyd, Ms. Myrtle",2016-10-11,"","","Parking @ railway station.","T&S - Planes, Trains and Automobiles","","","",6.7,"",""
"Lloyd, Ms. Myrtle",2016-10-11,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",274.5,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-10-11,"","","hosting can govt counterparts at hotel","Canteens, Lunches, Vending","","","",9.66,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-11,"","","lunch during visits","T&S - Subsistence","","","",8.61,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-11,"","","dinner in toronto","T&S - Subsistence","","","",23.11,"",""
"Freston, Mrs. Penny",2016-10-12,"","","visit","T&S - Planes, Trains and Automobiles","Standard/Economy","","",36,"",""
"Hepple, Mr. Tyson Julian",2016-10-12,"","Bedford Station","External Meeting","Rail","Standard","","",40.2,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-10-12,"","Bedford Station","External Meeting","Rail","Standard","","",25.2,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-10-12,"","Bedford Station","","Rail","Standard","","",-20.2,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-10-12,"","London St Pancras","External Meeting","Rail","Standard","","",15,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-10-12,"","London St Pancras","","Rail","Standard","","",-10,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-10-12,"","","dinner in ottawa","T&S - Subsistence","","","",13.04,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-12,"","Ottawa","External Meeting","Air Tickets","First Class","","",123.1,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-10-12,"","","External Meeting","Baggage","","","",21.19,"","Redfern"
"Sutton, Mr. Kenneth David",2016-10-12,"","London Zones 1-6","External Meeting","Rail","Standard","","",18.2,"","Redfern"
"Sutton, Mr. Kenneth David",2016-10-12,"","Stafford","External Meeting","Rail","Standard","","",213,"","Redfern"
"Wilkinson, Ms. Patsy",2016-10-12,"","","Taxi from 2 Marsham St to 70 Whitehall as no drivers available.  Attending meeting hosted by Jeremy Heywood","Taxis","","","",6,"",""
"Wilkinson, Ms. Patsy",2016-10-12,"","","Taxi from 70 Whitehall to 2 Marsham St","Taxis","","","",6,"",""
"Wilkinson, Ms. Patsy",2016-10-12,"","","Taxi from 2 Marsham St to home after late call with Home Secretary","Taxis","","","",7,"",""
"Williams, Ms. Wendy",2016-10-12,"","Birmingham","External Meeting","","","Hotel Superior- One- Double","",85.6,"","Redfern"
"Williams, Ms. Wendy",2016-10-12,"","Birmingham New St","External Meeting","Rail","Standard","","",22,"","Redfern"
"Williams, Ms. Wendy",2016-10-12,"","Birmingham New St","External Meeting","Rail","Standard","","",-11,"","Redfern"
"Williams, Ms. Wendy",2016-10-12,"","Stafford","External Meeting","Rail","Standard","","",18.5,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-10-13,"","","External Meeting","Billback Fee","","","",0.6,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-10-13,"","","Hosting Dinner of Nigerian Diplomats.","Miscellaneous","","","",336.38,"",""
"Lloyd, Ms. Myrtle",2016-10-13,"","","Parking @ Railway station","T&S - Planes, Trains and Automobiles","","","",6.7,"",""
"Lloyd, Ms. Myrtle",2016-10-13,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",249.5,"","Redfern"
"Montgomery, Sir Charles Percival",2016-10-13,"","","Tube journey to Director's Away Day","T&S - Hotels","","","",2.4,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-13,"","","lunch in ottawa","T&S - Subsistence","","","",9.81,"",""
"Morrison, Mr. Paul Noble Wilson",2016-10-13,"","London Heathrow","External Meeting","Air Tickets","Club Class","","",1814.86,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-10-13,"","London Heathrow","External Meeting","Air Tickets","Economy","","",1466,"","Redfern"
