"Name","Start date of trip","Duration of Visit (Days)","Destination","Purpose of trip","Mode of transport","Class of travel","Accomodation/Meals","Other (including hospitality given)","Total cost, including all visas, accommodation, travel, meals etc. ()","Total Cost of Use of Official Secure Car","Booked through"
"Lloyd, Ms. Myrtle",2016-11-15,"","","Under 80 miles, not cost effective to have hire car.","T&S - Employee Reimbursed Mileage","","","",16.8,"",""
"Montgomery, Sir Charles Percival",2016-11-15,"","","Tube from London Waterloo to London Liverpool Street for travel to Border Force Central Region Ceremony (Whittlesford)","T&S - Planes, Trains and Automobiles","Standard/Economy","","",6.7,"",""
"Montgomery, Sir Charles Percival",2016-11-15,"","Whittlesford","External Meeting","Rail","Standard","","",29.4,"","Redfern"
"Parsons, Mr. Michael John",2016-11-15,"","","Travel to meeting in Sandridge","Taxis","","","",10.6,"",""
"Parsons, Mr. Michael John",2016-11-15,"","","Travel from meeting in Sandridge","Taxis","","","",11,"",""
"Parsons, Mr. Michael John",2016-11-15,"","St Albans Station","External Meeting","Rail","Standard","","",12.1,"","Redfern"
"Sutton, Mr. Kenneth David",2016-11-15,"","","Working lunch","Miscellaneous","","","",2.65,"",""
"Sutton, Mr. Kenneth David",2016-11-15,"","","Unable to use public transport","Taxis","","","",7,"",""
"Sutton, Mr. Kenneth David",2016-11-15,"","London Zones 1-4","External Meeting","Rail","Standard","","",13.1,"","Redfern"
"Sutton, Mr. Kenneth David",2016-11-15,"","Stafford","External Meeting","Rail","Standard","","",212.5,"","Redfern"
"Duffy, Mr. Philip",2016-11-16,"","","Taxi fare from East Croydon Station to Selsdon Park","T&S - Hotels","","","",16.72,"",""
"Duffy, Mr. Philip",2016-11-16,"","","Travel to Croydon  Director Genrals awayday","T&S - Hotels","","","",5,"",""
"Eastaugh, Mr. Tony",2016-11-16,"","East Croydon","External Meeting","Rail","Standard","","",5.9,"","Redfern"
"France, Mr. David Paul",2016-11-16,"","London Zones 1-4","External Meeting","Rail","Standard","","",12.1,"","Redfern"
"Freston, Mrs. Penny",2016-11-16,"","East Croydon","External Meeting","Rail","Standard","","",11.8,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-11-16,"","","DG Directors' Away Day at Selsdon Park Hotel - taxi from East Croydon to Hotel","Taxis","","","",14,"",""
"Ind, Mr. Hugh Timothy",2016-11-16,"","East Croydon","External Meeting","Rail","Standard","","",5.9,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-16,"","","Taxi from home to railway station.  No suitable public transport, No Parking spaces.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-11-16,"","","Taxi from East Croydon station to Selsdon park for BICS Away day.","Taxis","","","",13.2,"",""
"Lloyd, Ms. Myrtle",2016-11-16,"","East Croydon","INTERNAL MEETING","Rail","Standard","","",8.3,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-16,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",85,"","Redfern"
"Montgomery, Sir Charles Percival",2016-11-16,"","East Croydon","External Meeting","Rail","Standard","","",11.8,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-11-16,"","","travel from east croydon station to conference venue","Taxis","","","",15,"",""
"Sedwill, Mr. Mark",2016-11-16,"","","VIP working dinner with official external contacts","Canteens, Lunches, Vending","","","",892.69,"",""
"Wilkinson, Ms. Patsy",2016-11-16,"","East Croydon","External Meeting","Rail","Standard","","",11.8,"","Redfern"
"Williams, Mr. Glyn",2016-11-16,"","","outside general transport area and closer to and from home","T&S - Overseas Expenses","","","",8,"",""
"Williams, Mr. Glyn",2016-11-16,"","","event outside of work hours","T&S - Subsistence","","","",4.25,"",""
"Dottridge, Mr. Adrian Yme",2016-11-17,"","London Victoria","External Meeting","Rail","Standard","","",5.9,"","Redfern"
"Eastaugh, Mr. Tony",2016-11-17,"","London Heathrow","External Meeting","","","Hotel Room","",199.6,"","Redfern"
"Eastaugh, Mr. Tony",2016-11-17,"","London Victoria","External Meeting","Rail","Standard","","",5.9,"","Redfern"
"Freston, Mrs. Penny",2016-11-17,"","","travel from BICS meeting in Selsdon Park Hotel to East Croydon","Taxis","","","",12,"",""
"Hepple, Mr. Tyson Julian",2016-11-17,"","","Taxi from Selsdon Park hotel to East Croydon station","Taxis","","","",11.35,"",""
"Lloyd, Ms. Myrtle",2016-11-17,"","","Taxi from railway station to home.  No suitable public transport, No Parking spaces.","Taxis","","","",8.3,"",""
"Lloyd, Ms. Myrtle",2016-11-17,"","","BICS Away day held in Croydon.","T&S - Planes, Trains and Automobiles","Standard/Economy","","",3.2,"",""
"Lloyd, Ms. Myrtle",2016-11-17,"","Chester","INTERNAL MEETING","Rail","Standard","","",138.5,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-17,"","ZONE U1245 LONDN","INTERNAL MEETING","Rail","Standard","","",8.3,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-11-17,"","","trave from east croydon to conference venu","Taxis","","","",15,"",""
"Morrison, Mr. Paul Noble Wilson",2016-11-17,"","","travel from conference venue to east croydon station","Taxis","","","",15,"",""
"Williams, Mr. Glyn",2016-11-17,"","","2nd full day - venue outside of general transport, closer to and from home","T&S - Overseas Expenses","","","",8,"",""
"Williams, Ms. Wendy",2016-11-17,"","Newcastle","External Meeting","Rail","Standard","","",140,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-11-18,"","Feltham","External Meeting","Rail","Standard","","",13.7,"","Redfern"
"Hills, Mr. Gareth David",2016-11-18,"","HEATHROW TERM123","External Meeting","Rail","Standard","","",44,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-11-18,"","","special stationery products not available in any of the approved HO stationery catalogues.","T&S - Subsistence","","","",56.52,"",""
"Oppenheim, Mr. Jeremy",2016-11-18,"","","Emergency travel from home to office (travelled to work whilst away from office ill)","Taxis","","","",27.5,"",""
"Oppenheim, Mr. Jeremy",2016-11-18,"","","emergency travel from office to home having travelled to whilst away from teh office ill.","Taxis","","","",45.1,"",""
"Parr, Mr. Matthew",2016-11-18,"","Basingstoke","External Meeting","Rail","Standard","","",23.4,"","Redfern"
"Williams, Mr. Glyn",2016-11-18,"","","Event in Mayfair","T&S - Overseas Expenses","","","",13,"",""
"Wren, Mr. Simon William",2016-11-18,"","Bridgwater","External Meeting","Rail","Standard","","",233,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-11-19,"","","External Meeting","Billback Fee","","","",0.6,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-11-19,"","","three textbooks on management related issues","T&S - Subsistence","","","",48.02,"",""
"Arnott, Dr. Robert Henry",2016-11-21,"","","2xofficials to IFG","Taxis","","","",11,"",""
"Cunningham, Mr. Michael Bernard",2016-11-21,"","","External Meeting","","","Hotel Fee","",2.33,"","Redfern"
"Lamberti, Mr. David James",2016-11-21,"","Stratford-Upon-Avon Station","External Meeting","Rail","Standard","","",109,"","Redfern"
"Parsons, Mr. Michael John",2016-11-21,"","","CIPFA Membership","Miscellaneous","","","",310,"",""
"Williams, Ms. Wendy",2016-11-21,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",30.9,"","Redfern"
"Williams, Ms. Wendy",2016-11-21,"","London Euston","External Meeting","Rail","Standard","","",38,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-11-22,"","London Euston","External Meeting","Rail","Standard","","",345,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-11-22,"","","External Meeting","Billback Fee","","","",0.6,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-22,"","","Taxi from home to railway station.  No suitable public transport, No Parking spaces in car park.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-11-22,"","","Overnight stay.  Dinner bill exceeded 26.","T&S - Subsistence","","","",26,"",""
"Lloyd, Ms. Myrtle",2016-11-22,"","","Tube ticket","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Lloyd, Ms. Myrtle",2016-11-22,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",560.5,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-11-22,"","","cab from conference to meeting","Taxis","","","",5,"",""
"Morrison, Mr. Paul Noble Wilson",2016-11-22,"","","cab between meetings","Taxis","","","",7.4,"",""
"Morrison, Mr. Paul Noble Wilson",2016-11-22,"","","cab between meetings","Taxis","","","",10,"",""
"Morrison, Mr. Paul Noble Wilson",2016-11-22,"","Manchester Piccadilly","External Meeting","Rail","Standard","","",208.2,"","Redfern"
"Parr, Mr. Matthew",2016-11-22,"","London Marylebone","External Meeting","Rail","Standard","","",36,"","Redfern"
"Sedwill, Mr. Mark",2016-11-22,"","London Victoria","External Meeting","Rail","Standard","","",4.3,"","Redfern"
"Sedwill, Mr. Mark",2016-11-22,"","Mortlake","External Meeting","Rail","Standard","","",3,"","Redfern"
"Sedwill, Mr. Mark",2016-11-22,"","Vauxhall","External Meeting","Rail","Standard","","",3,"","Redfern"
"Webb, Mr. Stephen",2016-11-22,"","","Train travel from Schipol Airport to Driebergen-Zeist","T&S - Overseas Expenses","","","",9.28,"",""
"Webb, Mr. Stephen",2016-11-22,"","","Refreshments on train","T&S - Subsistence","","","",10.58,"",""
"Webb, Mr. Stephen",2016-11-22,"","Amsterdam","External Meeting","Air Tickets","Business","","",122.15,"","Redfern"
"Wells, Mr. Michael Charles",2016-11-22,"","Liverpool Lime Street","External Meeting","Rail","Standard","","",312,"","Redfern"
"Wilkinson, Ms. Patsy",2016-11-22,"","","Dinner costs for trip to CTAF conference in Dublin","T&S - Hotels","","","",15.25,"",""
"Wilkinson, Ms. Patsy",2016-11-22,"","Dublin","External Meeting","Air Tickets","Economy","","",135.75,"","Redfern"
"Wilkinson, Ms. Patsy",2016-11-22,"","Dublin","External Meeting","","","Hotel (Foreign) Standard- One- Double","",99.28,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-11-23,"","Birmingham New St","External Meeting","Rail","Standard","","",81.1,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-23,"","","Taxi from railway station to home.  No suitable public transport, No Parking spaces in station car park.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-11-23,"","","Tube fare","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Webb, Mr. Stephen",2016-11-23,"","","Train travel from Driebergen Zeist to Schiphol Airport","T&S - Overseas Expenses","","","",9.28,"",""
"Webb, Mr. Stephen",2016-11-23,"","","This was booked through Redfern but the hotel insisted on payment on departure.","T&S - Overseas Expenses","","","",75.95,"",""
"Wilkinson, Ms. Patsy",2016-11-23,"","","Taxi fare from London City Airport to home after CTAF Meeting in Dublin","Taxis","","","",42,"",""
"O'brien, Mr. John",2016-11-23,"","","Cardiff stakeholder event","T&S - Subsistence","","","",56.25,"",""
"Lloyd, Ms. Myrtle",2016-11-24,"","","Parking @ railway station.  No suitable public transport.  Cheaper than return taxi fare.","T&S - Planes, Trains and Automobiles","","","",6.7,"",""
"Lloyd, Ms. Myrtle",2016-11-24,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",389.5,"","Redfern"
"Owen, Mr. Marc",2016-11-24,"","","Taxi to meeting, due to very short time gap in between meetings","Taxis","","","",18,"",""
"Parr, Mr. Matthew",2016-11-24,"","London","External Meeting","","","Hotel Room","",100.83,"","Redfern"
"Pratt, Mr. Alan Palaic",2016-11-24,"","","Travel to important meeting. Insufficient time between meetings for public transport.","Taxis","","","",12.5,"",""
"Wilkinson, Ms. Patsy",2016-11-24,"","","Taxi from 2 Marsham St to Globe House, Victoria to attend HMPO Viewpoint event","Taxis","","","",6,"",""
"Wilkinson, Ms. Patsy",2016-11-24,"","","Taxi from Globe House to 2 Marsham St after HMPO Viewpoint event","Taxis","","","",10,"",""
"Williams, Ms. Wendy",2016-11-24,"","Birmingham New St","External Meeting","Rail","Standard","","",-59,"","Redfern"
"Williams, Ms. Wendy",2016-11-24,"","Birmingham New St","External Meeting","Rail","Standard","","",70,"","Redfern"
"Williams, Ms. Wendy",2016-11-24,"","Newcastle","External Meeting","Rail","Standard","","",65,"","Redfern"
"Hayes, Mr. Simon Thomas",2016-11-27,"","","Taxi to airport for trip with DG","Taxis","","","",42,"",""
"Hayes, Mr. Simon Thomas",2016-11-27,"","","Food & drink at airport","T&S - Planes, Trains and Automobiles","","","",27.75,"",""
"Hayes, Mr. Simon Thomas",2016-11-27,"","Amman","External Meeting","Air Tickets","Economy","","",378.8,"","Redfern"
"Thomson, Mr. Mark David",2016-11-27,"","","Taxi from Home to Heathrow airport","Taxis","","","",45,"",""
"Hayes, Mr. Simon Thomas",2016-11-28,"","","Visa on arrival in Jordan for S Hayes and M Thomson","T&S - Planes, Trains and Automobiles","","","",88.71,"",""
"Hayes, Mr. Simon Thomas",2016-11-28,"","Abu Dhabi","External Meeting","Air Tickets","Economy","","",275.2,"","Redfern"
"Montgomery, Sir Charles Percival",2016-11-28,"","","Tube from office to French General Consul in London","T&S - Planes, Trains and Automobiles","Standard/Economy","","",4.8,"",""
"Riach, Ms. Shona",2016-11-28,"","Charlbury","","Rail","Standard","","",31.5,"","Redfern"
"Wilkinson, Ms. Patsy",2016-11-28,"","HEATHROW TERM 5","External Meeting","Rail","Standard","","",-17,"","Redfern"
"Wilkinson, Ms. Patsy",2016-11-28,"","HEATHROW TERM 5","","Rail","Standard","","",22,"","Redfern"
"Williams, Ms. Wendy",2016-11-28,"","Cardiff","External Meeting","Air Tickets","Economy","","",142.35,"","Redfern"
"Williams, Ms. Wendy",2016-11-28,"","London Paddington","External Meeting","Rail","Standard","","",36.5,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-11-29,"","London Euston","External Meeting","Rail","Standard","","",345,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-11-29,"","London Heathrow","External Meeting","","","Hotel Room","",129.6,"","Redfern"
"France, Mr. David Paul",2016-11-29,"","","Return train journey from 2MS to Croydon from Victoria","T&S - Planes, Trains and Automobiles","Standard/Economy","","",11.1,"",""
"Hayes, Mr. Simon Thomas",2016-11-29,"","","Hotel","T&S - Hotels","","","",112.88,"",""
"Lincoln, Mr. Paul Michael",2016-11-29,"","Chelmsford","","Rail","Standard","","",15.2,"","Redfern"
"Lincoln, Mr. Paul Michael",2016-11-29,"","London Liverpool Street","","Rail","Standard","","",24.5,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-29,"","","Overnight stay.  Dinner bill over daily limit.","T&S - Subsistence","","","",26,"",""
"Parsons, Mr. Michael John",2016-11-29,"","Salisbury","External Meeting","Rail","Standard","","",29.7,"","Redfern"
"Pratt, Mr. Alan Palaic",2016-11-29,"","","Travel to DSTL Porton Down","T&S - Employee Reimbursed Mileage","","","",39.6,"",""
"Pratt, Mr. Alan Palaic",2016-11-29,"","","Return from Porton Down, avoiding M3","T&S - Employee Reimbursed Mileage","","","",49.6,"",""
"Riach, Ms. Shona",2016-11-29,"","London Paddington","","Rail","Standard","","",31.5,"","Redfern"
"Sedwill, Mr. Mark",2016-11-29,"","","Work travel for official visit.","T&S - Employee Reimbursed Mileage","","","",22.85,"",""
"Sutton, Mr. Kenneth David",2016-11-29,"","London Zones 1-6","","Rail","Standard","","",17.7,"","Redfern"
"Wilkinson, Miss Sarah Fay",2016-11-29,"","Manchester Airport","","Rail","Standard","","",9.9,"","Redfern"
"Wilkinson, Miss Sarah Fay",2016-11-29,"","Manchester Piccadilly","","Rail","Standard","","",309,"","Redfern"
"Wilkinson, Ms. Patsy",2016-11-29,"","","Taxi from Paddington station to 2 Marsham St returning from Heathrow","Taxis","","","",14,"",""
"Wilkinson, Ms. Patsy",2016-11-29,"","","Taxi from 2 Marsham St to Paddington for Heathrow visit","Taxis","","","",16,"",""
"Wilkinson, Ms. Patsy",2016-11-29,"","HEATHROW TERM 5","","Rail","Standard","","",22,"","Redfern"
"Wilkinson, Ms. Patsy",2016-11-29,"","London Paddington","","Rail","Standard","","",7,"","Redfern"
"Hayes, Mr. Simon Thomas",2016-11-30,"","","Taxi to home","Taxis","","","",17.82,"",""
"Hayes, Mr. Simon Thomas",2016-11-30,"","","Taxi from Croydon to home","T&S - Hotels","","","",17.82,"",""
"Hayes, Mr. Simon Thomas",2016-11-30,"","","Oyster fare","T&S - Hotels","","","",3,"",""
"Hayes, Mr. Simon Thomas",2016-11-30,"","","Hotel for S Hayes & Director General in Dubai","T&S - Hotels","","","",313.91,"",""
"Hayes, Mr. Simon Thomas",2016-11-30,"","London Gatwick","External Meeting","Air Tickets","Economy","","",653.5,"","Redfern"
"Hayes, Mr. Simon Thomas",2016-11-30,"","London Heathrow","External Meeting","Air Tickets","Economy","","",0,"","Redfern"
"Lloyd, Ms. Myrtle",2016-11-30,"","","Overnight Parking charges.","T&S - Planes, Trains and Automobiles","","","",5,"",""
"Lloyd, Ms. Myrtle",2016-11-30,"","","Petrol for hire car.","T&S - Planes, Trains and Automobiles","","","",45,"",""
"Morrison, Mr. Paul Noble Wilson",2016-11-30,"","","Heathrow Express","T&S - Overseas Expenses","Standard/Economy","","",22,"",""
"Morrison, Mr. Paul Noble Wilson",2016-11-30,"","","Lunch","T&S - Subsistence","","","",8,"",""
"Morrison, Mr. Paul Noble Wilson",2016-11-30,"","","dinner on  a work trip","T&S - Subsistence","","","",17.19,"",""
"Morrison, Mr. Paul Noble Wilson",2016-11-30,"","Geneva","External Meeting","Air Tickets","Economy","","",86.51,"","Redfern"
"Thomson, Mr. Mark David",2016-11-30,"","","Taxi from Gatwick airport to Home.","Taxis","","","",33,"",""
"Wren, Mr. Simon William",2016-11-30,"","","Sheffield rail station to Vulcan Hse","Taxis","","","",6,"",""
"Wren, Mr. Simon William",2016-11-30,"","","Vulcan Hse to Sheffield rail station","Taxis","","","",6,"",""
"Wren, Mr. Simon William",2016-11-30,"","Sheffield","External Meeting","Rail","Standard","","",75.7,"","Redfern"
"France, Mr. David Paul",2016-12-01,"","","Taxi from Liverpool Lime Street to DBS offices","Taxis","","","",6,"",""
"France, Mr. David Paul",2016-12-01,"","Liverpool Lime Street","","Rail","Standard","","",179,"","Redfern"
"France, Mr. David Paul",2016-12-01,"","London Zones 1-4","","Rail","Standard","","",12.1,"","Redfern"
"Hepple, Mr. Tyson Julian",2016-12-01,"","HEATHROW TERM 5","","Rail","Standard","","",36,"","Redfern"
"Hills, Mr. Gareth David",2016-12-01,"","Liverpool","External Meeting","","","Hotel Room","",76.33,"","Redfern"
"Hills, Mr. Gareth David",2016-12-01,"","Liverpool Lime Street","","Rail","Standard","","",197.2,"","Redfern"
"Hills, Mr. Gareth David",2016-12-01,"","","External Meeting","Billback Fee","","","",0.6,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-01,"","","Taxi from home to railway station.  No suitable public transport, No spaces in railway car park.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-12-01,"","","Taxi from railway station to home.  No suitable public transport, No space in nearby car parks.","Taxis","","","",7.7,"",""
"Lloyd, Ms. Myrtle",2016-12-01,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",248.5,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-12-01,"","","cheaper rate obtained than could be managed through booking system","T&S - Overseas Expenses","","","",192.5,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-01,"","","travel from converence to airport","T&S - Overseas Expenses","","","",17.5,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-01,"","","Receipt","T&S - Subsistence","","","",10.94,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-01,"","","train from Gatwick to e croydon","T&S - Overseas Expenses","Standard/Economy","","",3.8,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-01,"","London Gatwick","","Web Transaction","Premium Economy","","",64.4,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-12-01,"","London Heathrow","External Meeting","Air Tickets","Economy","","",92.2,"","Redfern"
"Morrison, Mr. Paul Noble Wilson",2016-12-01,"","London Heathrow","","Air Tickets","Economy","","",-33.6,"","Redfern"
"Pratt, Mr. Alan Palaic",2016-12-01,"","","Lunch - conference (less than receipted amount)","T&S - Subsistence","","","",4.25,"",""
"Pratt, Mr. Alan Palaic",2016-12-01,"","","Bag and coat check at conference","Miscellaneous","","","",2,"",""
"Williams, Ms. Wendy",2016-12-01,"","Newcastle","External Meeting","Rail","Standard","","",79.5,"","Redfern"
"O'brien, Mr. John",2016-12-04,"","","Last minute travel to early Monday meeting","T&S - Planes, Trains and Automobiles","Standard/Economy","","",98.7,"",""
"O'brien, Mr. John",2016-12-04,"","","Leeds meeting","T&S - Subsistence","","","",26,"",""
"Eastaugh, Mr. Tony",2016-12-05,"","London Heathrow","External Meeting","","","Hotel Room","",182.6,"","Redfern"
"Leach, Mrs. Paula Michelle",2016-12-05,"","","London","Taxis","","","",15,"",""
"Lloyd, Ms. Myrtle",2016-12-05,"","","All day car Parking in Durham City Centre","T&S - Planes, Trains and Automobiles","","","",11.5,"",""
"Lloyd, Ms. Myrtle",2016-12-05,"","","Petrol for hire car.  Return journey from Durham in excess of 300 miles.","T&S - Planes, Trains and Automobiles","","","",75.53,"",""
"O'brien, Mr. John",2016-12-05,"","","Return From Leeds meeting","T&S - Planes, Trains and Automobiles","Standard/Economy","","",41,"",""
"Oppenheim, Mr. Jeremy",2016-12-05,"","","Travel from 2MS to Hyatt Regency Hotel to attend the Consular Corps of London lunch and to give a talk on safeguarding/modern slavery","Taxis","","","",14,"",""
"Oppenheim, Mr. Jeremy",2016-12-05,"","","travel from Hyatt Regency Hotel to the Home Office following aqttendance at Consular Corps of London lunch","Taxis","","","",14.96,"",""
"Parr, Mr. Matthew",2016-12-05,"","Birmingham New St","","Rail","Standard","","",32.5,"","Redfern"
"Williams, Ms. Wendy",2016-12-05,"","London Kings Cross","External Meeting","Rail","Standard","","",126.5,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-12-06,"","London Euston","","Rail","Standard","","",318,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-12-06,"","London Heathrow","External Meeting","","","Hotel Standard- One- King Size","",260.92,"","Redfern"
"Eastaugh, Mr. Tony",2016-12-06,"","Manchester","External Meeting","","","Hotel Room","",49.5,"","Redfern"
"Eastaugh, Mr. Tony",2016-12-06,"","Manchester Piccadilly","External Meeting","Rail","Standard","","",207.2,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-12-06,"","London City","External Meeting","","","Hotel Superior","",175.6,"","Redfern"
"Leach, Mrs. Paula Michelle",2016-12-06,"","","London","Taxis","","","",13.8,"",""
"Lincoln, Mr. Paul Michael",2016-12-06,"","","Travel from Copenhagen Airport to Hotel ahead of Institute Innovation Prog","Taxis","","","",27.66,"",""
"Lincoln, Mr. Paul Michael",2016-12-06,"","","Travel on 6 Dec 2016 to Heathrow for Flight to Copenhagen on official business","T&S - Planes, Trains and Automobiles","Standard/Economy","","",27,"",""
"Lincoln, Mr. Paul Michael",2016-12-06,"","Copenhagen","","Air Tickets","Economy","","",439.31,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-06,"","","Taxi from home to railway station. No suitable public transport, No spaces in nearby car parks.","Taxis","","","",8,"",""
"Lloyd, Ms. Myrtle",2016-12-06,"","","Taxi from railway station to home.  No suitable public transport.  Slightly longer route taken to avoid traffic and roadworks.","Taxis","","","",9,"",""
"Lloyd, Ms. Myrtle",2016-12-06,"","Chester","INTERNAL MEETING","Rail","Standard","","",138.5,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-06,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",138.5,"","Redfern"
"Montgomery, Sir Charles Percival",2016-12-06,"","","Overnight stay in London ahead of 06:50 departure for Lille","T&S - Hotels","","","",125,"",""
"Morrison, Mr. Paul Noble Wilson",2016-12-06,"","Sheffield","","Rail","Standard","","",79.5,"","Redfern"
"Owen, Mr. Marc",2016-12-06,"","","Travel from Culture Call conference in St Paul's","T&S - Planes, Trains and Automobiles","Standard/Economy","","",12.1,"",""
"Owen, Mr. Marc",2016-12-06,"","","travel to conference in St Paul's","T&S - Planes, Trains and Automobiles","Standard/Economy","","",3.3,"",""
"Sedwill, Mr. Mark",2016-12-06,"","","Work travel for official visit.","T&S - Employee Reimbursed Mileage","","","",25.7,"",""
"Shipley, Mr. Gordon Michael",2016-12-06,"","Basingstoke","External Meeting","Rail","Standard","","",39.2,"","Redfern"
"Wilkinson, Ms. Patsy",2016-12-06,"","","Taxi from NED event at Tower of London to home","Taxis","","","",14,"",""
"Cunningham, Mr. Michael Bernard",2016-12-07,"","London Euston","External Meeting","Rail","Standard","","",11,"","Redfern"
"Cunningham, Mr. Michael Bernard",2016-12-07,"","London Heathrow","External Meeting","","","Hotel Standard- One- King Size","",130.46,"","Redfern"
"Eastaugh, Mr. Tony",2016-12-07,"","London Heathrow","External Meeting","","","Hotel Room","",182.33,"","Redfern"
"France, Mr. David Paul",2016-12-07,"","","Return trip from home to visit CC GIles York; normal place of work is London; journey by car much quicker than by rail","T&S - Employee Reimbursed Mileage","","","",44,"",""
"Lloyd, Ms. Myrtle",2016-12-07,"","","Parking @ railway station - cheaper than return taxi journey.","T&S - Planes, Trains and Automobiles","","","",6.7,"",""
"Lloyd, Ms. Myrtle",2016-12-07,"","","Overnight stay in London.  Dinner bill exceeded daily limit.","T&S - Subsistence","","","",26,"",""
"Lloyd, Ms. Myrtle",2016-12-07,"","","Tube fare.","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Lloyd, Ms. Myrtle",2016-12-07,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",223.5,"","Redfern"
"Montgomery, Sir Charles Percival",2016-12-07,"","","Refreshment/snack during travel to France (Lille/Paris)","T&S - Subsistence","","","",7.9,"",""
"Montgomery, Sir Charles Percival",2016-12-07,"","Brussels","External Meeting","","","Hotel (Foreign) Superior- One- Double","",141.5,"","Redfern"
"Montgomery, Sir Charles Percival",2016-12-07,"","Brussels","","Cont Rail","","","",74.27,"","Redfern"
"Montgomery, Sir Charles Percival",2016-12-07,"","Lille Europe","","Cont Rail","Economy","","",67,"","Redfern"
"Montgomery, Sir Charles Percival",2016-12-07,"","Paris","External Meeting","Cont Rail","","","",-151.32,"","Redfern"
"Montgomery, Sir Charles Percival",2016-12-07,"","Paris","","Cont Rail","","","",164.07,"","Redfern"
"Montgomery, Sir Charles Percival",2016-12-07,"","","MEETING WITH EXTERNAL BODIES","Cont Rail","","","",161.94,"","Redfern"
"Taylor, Mr. David Mclure",2016-12-07,"","Durham","","Rail","Standard","","",160.85,"","Redfern"
"Taylor, Mr. David Mclure",2016-12-07,"","Newcastle","External Meeting","","","Hotel Room","",77.6,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-12-08,"","","Tube travel","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Dottridge, Mr. Adrian Yme",2016-12-08,"","","Meal Whilst visiting team in Sheffield","T&S - Subsistence","","","",6.99,"",""
"Dottridge, Mr. Adrian Yme",2016-12-08,"","Sheffield","External Meeting","","","Hotel Standard","",90.6,"","Redfern"
"Dottridge, Mr. Adrian Yme",2016-12-08,"","Sheffield","External Meeting","Rail","Standard","","",189,"","Redfern"
"Lloyd, Ms. Myrtle",2016-12-08,"","","Parking @ railway station - cheaper than return taxi fare","T&S - Planes, Trains and Automobiles","","","",6.7,"",""
"Lloyd, Ms. Myrtle",2016-12-08,"","","Tube fare.","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Montgomery, Sir Charles Percival",2016-12-08,"","","Tube from St Pancreas to London Waterloo","T&S - Planes, Trains and Automobiles","Standard/Economy","","",2.4,"",""
"Montgomery, Sir Charles Percival",2016-12-08,"","London St Pancras","","Cont Rail","Premium Economy","","",168,"","Redfern"
"O'brien, Mr. John",2016-12-08,"","","External meeting travelling after","T&S - Employee Reimbursed Mileage","","","",93.6,"",""
