file,postgres_success,postgres_header_precision,postgres_header_recall,postgres_header_f1,postgres_record_precision,postgres_record_recall,postgres_record_f1,postgres_cell_precision,postgres_cell_recall,postgres_cell_f1
ministers-overseas-travel-jan-mar-2013.csv,1,0.8333333333333334,0.7142857142857143,0.7692307692307692,1.0,1.0,1.0,1.0,1.0,1.0
Consular_cases_April_2016.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NBA_scores_out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
workforce-management-information-dft_201706.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_3.dat.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.50_6.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
AL5083-emissivity.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bioprofile_fits_K1par-0mMCD_sets.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_10.dat__m28Infos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
wairakite-dh.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine_Cellar_Consumption_dataset_14-15.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W44out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
rape_table_3_prosecution_outcomes_0708_1314.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hypo5.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sustainability_-_Water_consumption_P_56.csv,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6666666666666666,1.0,0.25,0.4
vissim_data_conf2473_i7_v1987.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
vissim_data_conf2473_i12_v2026.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
extended.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S39.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resultsgk06.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SouthTrent_Demand_zone-based.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O18_air.csv,1,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Note_4_Staff_costs_-_Average_number_of_persons_employed_13-14.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W38out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20170320-ePC_Data-Travel-Stationery.csv,1,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.875,0.9333333333333333
business_expenses_apr_jun_14_peter_lewis.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GPC_DCLG_December_2015_for_Publication.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
W32.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Wind Direction.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Businesses with a rateable value of less than £12,000 - March 2016.csv",1,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.9936803770351328,0.9936803770351328,0.9936803770351328
june_2015(1).csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.00872093023255814,0.75,0.017241379310344827
planning-application-aug-17.csv,1,0.8947368421052632,0.8947368421052632,0.8947368421052632,1.0,1.0,1.0,0.9893211289092296,0.9896985883250667,0.989509822620637
air_quality_station3_2006.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wakefield Council Procurement Card Transactions 2018-19 Q2.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spending_2020_01.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Humidity.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fire_archive_V1_50574.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
