ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222152-Cleaning (excl Waste Collctn),ELITE CLEANING & ENV SERVICES LTD,1520037,"£137,894.30"
HMCS,09-Mar-11,GZ999-North West Region,222152-Cleaning (excl Waste Collctn),ELITE CLEANING & ENV SERVICES LTD,1520037,"£178,103.07"
HMCS,09-Mar-11,CZ999-South East Region,222152-Cleaning (excl Waste Collctn),HI-SPEC FACILITIES SUPPORT CO PLC,1520174,"£260,412.31"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222152-Cleaning (excl Waste Collctn),RENTOKIL INITIAL UK LIMITED,1521461,"£56,049.50"
HMCS,09-Mar-11,GZ999-North West Region,222152-Cleaning (excl Waste Collctn),RENTOKIL INITIAL UK LIMITED,1521462,"£58,605.74"
HMCS,11-Mar-11,DZ999-South West Region,222152-Cleaning (excl Waste Collctn),REGENT OFFICE CARE LTD,1523671,"£136,182.06"
HMCS,16-Mar-11,GZ999-North West Region,222152-Cleaning (excl Waste Collctn),"OCS GROUP UK LTD, OCS ENGINEERING",1529312,"£28,078.37"
HMCS,16-Mar-11,FZ999-Midlands Region,222152-Cleaning (excl Waste Collctn),REGENT OFFICE CARE LTD,1529423,"£258,244.12"
HMCS,16-Mar-11,EZ999-Wales Region,222152-Cleaning (excl Waste Collctn),OCS SUPPORT SERVICES LTD,1529313,"£89,847.32"
HMCS,30-Mar-11,BZ999-London Region,222152-Cleaning (excl Waste Collctn),MACLELLAN INTERNATIONAL LTD,1547462,"£328,211.32"
HMCS,30-Mar-11,IZ999-RCJ Group,222152-Cleaning (excl Waste Collctn),VICTORIA GENERAL CLEANING SERVICES LTD,1548076,"£68,203.60"
HMCS,11-Mar-11,FZ999-Midlands Region,222154-Equipment Maintenance,1ST CLASS HYGIENE LTD,1523095,"£28,511.59"
HMCS,16-Mar-11,AG999-Estates Directorate HMCS HQ,222163-Judicial - Hirings non VAT,LEICESTERSHIRE COUNTY COUNCIL,1529117,"£42,000.00"
HMCS,02-Mar-11,FZ999-Midlands Region,222181-Managing Agents Fees,EC HARRIS LLP,1511706,"£96,547.46"
HMCS,02-Mar-11,GZ999-North West Region,222181-Managing Agents Fees,DTZ DEBENHAM TIE LEUNG,1511695,"£67,392.56"
HMCS,04-Mar-11,CZ999-South East Region,222181-Managing Agents Fees,EC HARRIS LLP,1514670,"£153,000.00"
HMCS,04-Mar-11,BZ999-London Region,222181-Managing Agents Fees,EC HARRIS LLP,1514670,"£97,127.29"
HMCS,04-Mar-11,IZ999-RCJ Group,222181-Managing Agents Fees,EC HARRIS LLP,1514670,"£32,400.00"
HMCS,09-Mar-11,DZ999-South West Region,222181-Managing Agents Fees,ATKINS,1519758,"£115,955.70"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222181-Managing Agents Fees,DTZ DEBENHAM TIE LEUNG,1520018,"£59,401.88"
HMCS,16-Mar-11,DZ999-South West Region,222181-Managing Agents Fees,ATKINS,1528504,"£115,955.70"
HMCS,16-Mar-11,DZ999-South West Region,222181-Managing Agents Fees,ATKINS,1528504,"£115,955.70"
HMCS,23-Mar-11,EZ999-Wales Region,222181-Managing Agents Fees,WYG MANAGEMENT SERVICES LTD,1538309,"£34,010.94"
HMCS,23-Mar-11,EZ999-Wales Region,222181-Managing Agents Fees,WYG MANAGEMENT SERVICES LTD,1538309,"£36,000.00"
HMCS,30-Mar-11,EZ999-Wales Region,222181-Managing Agents Fees,WYG MANAGEMENT SERVICES LTD,1548197,"£38,214.00"
HMCS,30-Mar-11,GZ999-North West Region,222181-Managing Agents Fees,DTZ DEBENHAM TIE LEUNG,1546995,"£67,392.56"
HMCS,16-Mar-11,DZ999-South West Region,222182-Mechanical & Electrical,PHS COMPLIANCE,1529368,"£31,655.65"
HMCS,31-Mar-11,FZ999-Midlands Region,222183-Building & Civil Engineering,REIRSE RYAN LTD,1549335,"£79,592.40"
HMCS,02-Mar-11,BZ999-London Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1512109,"£119,782.03"
HMCS,02-Mar-11,GZ999-North West Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1511426,"£59,891.75"
HMCS,04-Mar-11,BZ999-London Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1514974,"£123,149.78"
HMCS,09-Mar-11,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1520414,"£85,049.30"
HMCS,09-Mar-11,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1520414,"£38,512.06"
HMCS,09-Mar-11,IZ999-RCJ Group,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1519893,"£65,976.30"
