F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F3,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F4,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F5,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F6,F60,F61,F62,F63,F64,F7,F8,F9
2,0,0,0,0,0,1,1,1,0,0,0,7,1,0,1,1,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,6,0,33,2,32,4,3,1,0,0
1,0,0,0,1,0,0,0,1,0,0,1,6,3,0,0,1,2,1,5,0,0,2,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,32,3,24,3,0,1,1,1
0,0,0,0,3,0,0,0,0,1,0,1,7,2,4,0,2,1,6,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,0,0,3,1,1,40,1,30,0,1,3,0,2
1,0,1,0,0,0,0,0,0,1,0,1,6,0,2,0,3,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,1,0,0,0,2,1,0,45,0,19,3,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,25,0,14,2,0,1,0,0
0,1,0,0,2,1,1,0,0,0,0,1,4,3,0,0,2,0,2,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,40,4,15,0,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,2,9,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,2,12,3,1,1,0,0
0,2,1,1,1,1,1,0,2,0,0,0,1,1,4,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,2,0,0,57,2,24,2,3,2,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,9,0,0,0,0,0
1,0,0,0,2,0,0,0,1,1,0,7,1,0,0,1,0,0,0,4,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,31,1,20,2,2,0,0,1
0,0,0,0,1,0,0,0,1,0,0,3,3,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,36,1,37,1,5,4,0,0
0,0,0,0,3,0,0,0,0,1,4,3,5,2,0,4,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,36,3,34,3,5,0,0,0
0,1,0,0,2,1,0,0,0,1,0,4,7,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,2,0,1,25,0,21,3,0,1,0,0
0,0,1,0,1,2,0,0,0,0,1,0,8,1,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,6,0,0,0,0,0,1,30,2,22,0,1,0,1,2
1,0,0,0,6,0,0,0,0,1,0,4,1,0,1,0,1,0,2,3,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,2,0,30,0,22,3,1,2,0,0
1,0,0,0,1,0,0,1,0,1,0,2,3,0,0,0,0,0,1,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,2,0,2,0,0,1,0,0,1,0,39,2,29,0,4,0,1,1
0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,16,0,19,2,2,0,0,0
1,0,0,0,1,1,0,0,1,1,0,7,2,2,1,0,0,0,0,2,0,0,0,0,3,1,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,1,31,3,25,1,2,0,0,1
2,0,1,0,0,0,0,0,3,1,0,1,0,1,2,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,5,0,0,1,2,3,0,0,2,1,0,34,5,21,0,2,0,0,0
0,1,0,0,0,1,0,0,0,1,0,2,6,3,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,36,1,13,0,1,0,0,1
1,1,0,0,1,0,0,0,2,1,0,3,8,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,0,1,2,0,44,2,32,2,1,2,1,0
3,0,0,0,1,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,35,0,30,2,1,1,0,0
0,0,1,0,4,0,1,0,1,2,0,0,11,3,1,0,0,1,1,2,1,0,7,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,2,2,0,1,0,1,0,1,0,3,1,1,52,2,36,4,4,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,4,2,1,31,0,18,4,3,2,2,2
0,0,1,0,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,1,0,0,1,0,2,30,6,22,2,0,4,1,3
